name,method,expected_rate,warn_interval,fail_interval
adcp_config,streamed,0,0,0
adcp_config_5,streamed,0,0,0
adcp_engineering,streamed,0,300,600
adcp_engineering_5,streamed,0,600,1200
adcp_velocity_beam,streamed,0,120,600
antelope_metadata,streamed,0,120,600
botpt_heat_sample,streamed,0,120,600
botpt_iris_sample,streamed,0,120,600
botpt_lily_leveling,streamed,0,120,600
botpt_lily_sample,streamed,0,120,600
botpt_nano_sample,streamed,0,120,600
calibration_status,streamed,0,0,0
ctdbp_no_configuration,streamed,0,0,0
ctdbp_no_hardware,streamed,0,0,0
ctdbp_no_sample,streamed,0,120,600
ctdbp_no_status,streamed,0,0,0
ctdpf_optode_calibration_coefficients,streamed,0,0,0
ctdpf_optode_configuration,streamed,0,0,0
ctdpf_optode_hardware,streamed,0,0,0
ctdpf_optode_sample,streamed,0,120,600
ctdpf_optode_settings,streamed,0,0,0
ctdpf_optode_status,streamed,0,0,0
ctdpf_sbe43_calibration_coefficients,streamed,0,0,0
ctdpf_sbe43_configuration,streamed,0,0,0
ctdpf_sbe43_hardware,streamed,0,0,0
ctdpf_sbe43_sample,streamed,0,120,600
ctdpf_sbe43_status,streamed,0,0,0
d1000_sample,streamed,0,200,1000
deep_profiler_dock_eng_data,streamed,0,0,0
echo_sounding,streamed,0,900,1800
flort_d_data_record,streamed,0,120,600
flort_d_status,streamed,0,0,0
horizontal_electric_field,streamed,0,400,800
hpies_data_header,streamed,0,600,1200
hpies_status,streamed,0,1200,6000
massp_mcu_status,streamed,0,0,0
motor_current,streamed,0,400,800
nutnr_a_dark_sample,streamed,0,7200,14400
nutnr_a_sample,streamed,0,7200,14400
optaa_sample,streamed,0,120,600
optaa_status,streamed,0,0,0
parad_sa_sample,streamed,0,120,600
pco2w_a_configuration,streamed,0,0,0
pco2w_a_regular_status,streamed,0,0,0
pco2w_a_sami_data_record,streamed,0,7200,14400
pco2w_a_sami_data_record_cal,streamed,0,0,0
pco2w_b_configuration,streamed,0,0,0
pco2w_b_dev1_data_record,streamed,0,0,0
pco2w_b_regular_status,streamed,0,0,0
pco2w_b_sami_data_record,streamed,0,7200,14400
pco2w_b_sami_data_record_cal,streamed,0,0,0
phsen_configuration,streamed,0,0,0
phsen_data_record,streamed,0,7200,14400
phsen_regular_status,streamed,0,0,0
prest_configuration_data,streamed,0,0,0
prest_device_status,streamed,0,0,0
prest_event_counter,streamed,0,0,0
prest_hardware_data,streamed,0,0,0
prest_real_time,streamed,0,120,600
primary_node_eng_data,streamed,0,400,1300
primary_node_out_of_band_port_data,streamed,0,0,0
secondary_node_eng_data,streamed,0,120,600
secondary_node_port_eng_data,streamed,0,120,600
shallow_profiler_winch_eng_data,streamed,0,120,600
shore_station_force_10_network_port_data,streamed,0,0,0
shore_station_otn_sea_side_port_data,streamed,0,0,0
shore_station_otn_shore_side_port_data,streamed,0,0,0
shore_station_power_feed_equipment_eng_data,streamed,0,1000,5000
shore_station_time_server_eng_data,streamed,0,0,0
shore_station_ups_line_eng_data,streamed,0,0,0
shore_station_ups_status,streamed,0,0,0
spkir_a_configuration_record,streamed,0,0,0
spkir_data_record,streamed,0,120,600
stm_timestamp,streamed,0,120,600
thsph_sample,streamed,0,120,600
tmpsf_sample,streamed,0,120,600
trhph_sample,streamed,0,120,600
vadcp_5thbeam_pd0_beam_parsed,streamed,0,0,0
vadcp_pd0_beam_parsed,streamed,0,0,0
vadcp_velocity_beam,streamed,0,120,600
vadcp_velocity_beam_5,streamed,0,120,600
vel3d_b_sample,streamed,0,120,600
vel3d_cd_data_header,streamed,0,0,0
vel3d_cd_system_data,streamed,0,0,0
vel3d_cd_velocity_data,streamed,0,120,600
velpt_velocity_data,streamed,0,120,600
zplsc_metadata,streamed,0,86400,172800
